ISO3;ECONOMY_NAME;NUM;NAME;DATAYR;VALUE_SCREEN;SCORE;RANK
ALB;Albania;1;Global Innovation Index;;;24,5379298;84
ALB;Albania;IN;Innovation inputs;;;35,04319461;66
ALB;Albania;IN.1;Institutions;;;50,32175993;60
ALB;Albania;IN.1.1;Institutional environment;;;55,1743446;60
ALB;Albania;IN.1.1.1;Operational stability for businesses*;2023;2,025;64,66666667;61
ALB;Albania;IN.1.1.2;Government effectiveness*;2022;0,065062843;45,68202253;62
ALB;Albania;IN.1.2;Regulatory environment;;;42,55176152;67
ALB;Albania;IN.1.2.1;Regulatory quality*;2022;0,159353822;46,02111577;64
ALB;Albania;IN.1.2.2;Rule of law*;2022;-0,165779099;39,08240727;73
ALB;Albania;IN.1.3;Business environment;;;53,23917367;53
ALB;Albania;IN.1.3.1;Policy stability for doing business†;2022;4,231149068;53,23917367;53
ALB;Albania;IN.1.3.2;Entrepreneurship policies and culture†;;;;
ALB;Albania;IN.2;Human capital and research;;;21,56898994;101
ALB;Albania;IN.2.1;Education;;;37,42809228;108
ALB;Albania;IN.2.1.1;Expenditure on education, % GDP;2022;2,749310017;19,74901232;108
ALB;Albania;IN.2.1.2;Government funding/pupil, secondary, % GDP/cap;2019;9,814379692;8,707009938;87
ALB;Albania;IN.2.1.3;School life expectancy, years;2022;14,48746967;55,80500479;60
ALB;Albania;IN.2.1.4;PISA scales in reading, maths and science;2022;367,5414097;12,45706152;76
ALB;Albania;IN.2.1.5;Pupil–teacher ratio, secondary;2022;9,724882428;90,42237283;31
ALB;Albania;IN.2.2;Tertiary education;;;27,27887753;83
ALB;Albania;IN.2.2.1;Tertiary enrolment, % gross;2022;62,73199081;40,06036056;51
ALB;Albania;IN.2.2.2;Graduates in science and engineering, %;2022;20,81203079;37,97598923;72
ALB;Albania;IN.2.2.3;Tertiary inbound mobility, %;2022;1,511139989;3,800282813;82
ALB;Albania;IN.2.3;Research and development (R&D);;;0;120
ALB;Albania;IN.2.3.1;Researchers, FTE/mn pop.;;;;
ALB;Albania;IN.2.3.2;Gross expenditure on R&D, % GDP;;;;
ALB;Albania;IN.2.3.3;Global corporate R&D investors, top 3, mn USD;2023;0;0;41
